S1 S1.x S1.y S1.lon S1.lat S2 S2.x S2.y S2.lon S2.lat dist.h alpha label 
395 703351.360837 6173000.227782 3.040820 42.656600 579 844396.616806 6188824.885622 4.762780 42.784400 141930.208297 83.598436 E 
395 703351.360837 6173000.227782 3.040820 42.656600 172 844900.430240 6181104.765650 4.766820 42.714900 141780.896396 86.723049 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1427 848025.319661 6229191.899559 4.818410 43.146600 155203.280696 68.773725 E 
395 703351.360837 6173000.227782 3.040820 42.656600 168 849382.867949 6171572.134016 4.818780 42.628300 146038.489862 90.560298 E 
395 703351.360837 6173000.227782 3.040820 42.656600 77 850190.114478 6148057.340226 4.822000 42.416800 148942.160621 99.640574 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2168 849697.113698 6247912.110488 4.844310 43.314600 164404.591027 62.892871 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 106 851832.272812 6162149.420557 4.845910 42.543100 148876.866028 94.179677 E 
395 703351.360837 6173000.227782 3.040820 42.656600 606 855539.798968 6211930.662308 4.905570 42.989800 157088.826570 75.651195 E 
395 703351.360837 6173000.227782 3.040820 42.656600 101 857710.536379 6147623.183227 4.913070 42.411300 156431.293111 99.336059 E 
395 703351.360837 6173000.227782 3.040820 42.656600 169 857825.307178 6176734.254972 4.923060 42.672900 154519.070206 88.615285 E 
395 703351.360837 6173000.227782 3.040820 42.656600 105 858946.234655 6168951.182041 4.934390 42.602700 155647.549065 91.490672 E 
395 703351.360837 6173000.227782 3.040820 42.656600 602 858594.978384 6199714.198514 4.939310 42.879300 157525.290100 80.236293 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1420 858533.129714 6224493.568328 4.946020 43.102100 163502.126935 71.642815 E 
395 703351.360837 6173000.227782 3.040820 42.656600 73 861046.979463 6131600.603075 4.948730 42.266600 163039.372729 104.709842 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1444 859820.362365 6233844.924089 4.964670 43.185900 167882.773112 68.750881 E 
216 708000.643632 6158410.654464 3.097230 42.525400 978 708583.862962 6205545.050795 3.105080 42.949200 47138.004437 0.708915 N 
216 708000.643632 6158410.654464 3.097230 42.525400 1308 709020.919855 6216609.095610 3.110620 43.048700 58207.383685 1.004349 N 
216 708000.643632 6158410.654464 3.097230 42.525400 504 709467.254204 6182415.531786 3.115480 42.741200 24049.637873 3.496218 N 
216 708000.643632 6158410.654464 3.097230 42.525400 762 711731.884553 6189937.217948 3.143270 42.808800 31746.596100 6.749689 N 
216 708000.643632 6158410.654464 3.097230 42.525400 136 714005.577623 6147841.453574 3.169930 42.430300 12155.954907 150.396753 SE 
216 708000.643632 6158410.654464 3.097230 42.525400 32 714635.573031 6140733.727118 3.177380 42.366400 18881.102948 159.426675 N 
216 708000.643632 6158410.654464 3.097230 42.525400 302 717112.696714 6171620.500626 3.208390 42.644000 16047.727161 34.597621 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 196 717553.306799 6157773.124181 3.213300 42.519500 9573.913434 93.818172 E 
216 708000.643632 6158410.654464 3.097230 42.525400 529 718517.547504 6184892.952224 3.225960 42.763300 28494.163643 21.659491 N 
216 708000.643632 6158410.654464 3.097230 42.525400 1073 719086.033078 6210715.828658 3.233830 42.995500 53466.972111 11.966019 N 
216 708000.643632 6158410.654464 3.097230 42.525400 1621 721196.654846 6221918.903512 3.260140 43.096200 64864.723920 11.738132 N 
216 708000.643632 6158410.654464 3.097230 42.525400 849 723392.255785 6201556.402370 3.286180 42.913000 45808.921479 19.633113 N 
216 708000.643632 6158410.654464 3.097230 42.525400 18 723991.327596 6132906.365701 3.290420 42.295800 30102.669631 147.913102 SE 
216 708000.643632 6158410.654464 3.097230 42.525400 1227 725688.484041 6214230.129230 3.314890 43.026900 58554.875643 17.582148 N 
216 708000.643632 6158410.654464 3.097230 42.525400 43 726063.782134 6142872.178137 3.315990 42.385300 23826.901165 130.703147 SE 
